,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id
32,2,19.416139,2023-01-02 09:00:51.495394+00:00,2023-01-02,9,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 09:50:51.495394+00:00,132
33,3,8.605085,2023-01-02 10:00:28.230045+00:00,2023-01-02,10,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 10:50:28.230045+00:00,136
34,1,4.138619,2023-01-02 10:00:47.746047+00:00,2023-01-02,10,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 10:50:47.746047+00:00,138
35,0,2.207696,2023-01-02 11:01:32.712014+00:00,2023-01-02,11,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 11:51:32.712014+00:00,143
36,2,18.115042,2023-01-02 13:01:14.516128+00:00,2023-01-02,13,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 13:51:14.516128+00:00,150
37,1,1.347101,2023-01-02 14:00:18.609201+00:00,2023-01-02,14,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 14:50:18.609201+00:00,152
38,3,12.001636,2023-01-02 14:01:03.247948+00:00,2023-01-02,14,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 14:51:03.247948+00:00,154
39,0,9.727171,2023-01-02 15:00:20.067829+00:00,2023-01-02,15,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 15:50:20.067829+00:00,158
40,0,7.971268,2023-01-02 17:01:02.332000+00:00,2023-01-02,17,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 17:51:02.332000+00:00,166
41,3,9.422566,2023-01-02 18:00:56.665160+00:00,2023-01-02,18,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 18:50:56.665160+00:00,168
42,1,9.862841,2023-01-02 18:01:22.145996+00:00,2023-01-02,18,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 18:51:22.145996+00:00,170
43,2,6.205596,2023-01-02 19:00:43.551747+00:00,2023-01-02,19,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 19:50:43.551747+00:00,174
